name,height,reach,age
Tom Niinimaki,175,69,34
Alessandro Ricci,180,69,34
Fernando Bruno,167,70,34
Joe Stevenson,170,70,34
Justin Salas,172,70,34
Marcus LeVesseur,175,70,34
Chris Tickle,175,70,34
Hayder Hassan,177,70,34
Joe Riggs,182,70,34
Ken Stone,172,71,34
Rafaello Oliveira,172,71,34
Ricardo Lamas,172,71,34
Kyle Bradley,175,71,34
Jeremy Jackson,177,71,34
Abner Lloveras,180,71,34
Claudio Silva,180,71,34
Gasan Umalatov,180,71,34
Luiz Dutra,180,71,34
Rory Markham,182,71,34
Bristol Marunde,185,71,34
Brian Melancon,172,72,34
Jesse Lennox,175,72,34
Adriano Martins,177,72,34
Estevan Payan,177,72,34
Karo Parisyan,177,72,34
KJ Noons,177,72,34
Matt Arroyo,177,72,34
Vinc Pichel,177,72,34
Martin Kampmann,182,72,34
Sergio Moraes,182,72,34
Garreth McLellan,185,72,34
Edwin DeWees,185,72,34
Razak Al-Hassan,187,72,34
Daniel Sarafian,175,73,34
Gilbert Melendez,175,73,34
Stephen Bass,175,73,34
Vagner Rocha,177,73,34
Leonardo Augusto Leleco,182,73,34
Tom Watson,185,73,34
Mike Massenzio,187,73,34
Victor Valimaki,182,74,34
Tyron Woodley,175,74,34
Robbie Lawler,180,74,34
Dan Hardy,182,74,34
Daniel Omielanczuk,182,74,34
Tim McKenzie,182,74,34
Edilberto de Oliveira,182,74,34
Johnny Rees,182,74,34
Dmitrii Smoliakov,187,74,34
Eddie Sanchez,187,74,34
Thiago Silva,187,74,34
Paul Georgieff,187,74,34
Shamar Bailey,175,75,34
Ryan Couture,177,75,34
Pete Sell,180,75,34
Tom DeBlass,182,75,34
DaMarques Johnson,185,75,34
Josh Copeland,185,75,34
Xavier Foupa-Pokam,185,75,34
Jared Hamman,190,75,34
Rafael Natal,182,76,34
Che Mills,185,76,34
Tomasz Drwal,185,76,34
Jake Rosholt,185,76,34
Buddy Roberts,187,76,34
Chris Price,187,76,34
Kyle Kingsbury,193,76,34
Alberto Mina,182,77,34
Cain Velasquez,185,77,34
Ildemar Alcantara,187,78,34
Magnus Cedenblad,195,79,34
Kendall Grove,198,79,34
Travis Browne,198,79,34
Dmitri Stepanov,190,80,34
Stipe Miocic,193,80,34
Chris Cariaso,160,63,35
Ning Guangyou,162,64,35
Julie Kedzie,165,64,35
Bernardo Magalhaes,175,65,35
Emily Peters Kagan,160,66,35
Wagner Campos,167,66,35
Katsunori Kikuno,172,66,35
Naoyuki Kotani,172,66,35
Manvel Gamburyan,165,67,35
Michel Prazeres,167,67,35
Mizuto Hirota,170,67,35
Frankie Edgar,167,68,35
Josh Clopton,167,68,35
Chris Kelades,170,68,35
Francisco Rivera,172,68,35
Holly Holm,172,69,35
Yui Chul Nam,175,69,35
Jason Tan,177,69,35
Maiquel Falcao,180,69,35
Matt Veach,180,69,35
Clay Guida,170,70,35
Luigi Fioravanti,172,70,35
Matt Grice,172,70,35
Francisco Trevino,175,70,35
Rob Emerson,175,70,35
Carlos Eduardo Rocha,177,70,35
Evan Dunham,177,70,35
Jason High,172,71,35
Kiichi Kunimoto,177,71,35
Mike Rio,177,71,35
Shannon Gugerty,177,71,35
Stanislav Nedkov,180,71,35
Chad Reiner,180,71,35
Cole Escovedo,170,72,35
Luis Ramos,172,72,35
Junior Assuncao,175,72,35
Rodney Wallace,175,72,35
Charlie Brenneman,177,72,35
Diego Sanchez,177,72,35
John Polakowski,177,72,35
Steve Bruno,177,72,35
Carlo Prater,180,72,35
Steve Bosse,180,72,35
Jon Koppenhaver,180,72,35
Alessio Sakara,182,72,35
Jason Day,182,72,35
Nick Catone,182,72,35
George Roop,185,72,35
Yushin Okami,187,72,35
Patrick Williams,172,73,35
Rob Kimmons,177,73,35
Andre Winner,180,73,35
Paulo Thiago,180,73,35
Alan Jouban,182,73,35
Carmelo Marrero,182,73,35
George Sullivan,182,73,35
Riki Fukuda,182,73,35
Ryan Jimmo,185,73,35
Yaotzin Meza,175,74,35
Tim Boetsch,182,74,35
Maciej Jewtuszko,182,74,35
Dan Miller,185,74,35
Nick Thompson,185,74,35
Nordine Taleb,185,74,35
Mike Whitehead,185,74,35
Luke Zachrich,187,74,35
Nissen Osterneck,187,74,35
Cody Donovan,190,74,35
Seth Baczynski,190,74,35
Mark Bocek,172,75,35
Gilbert Smith,175,75,35
Benny Alloway,180,75,35
Keith Wisniewski,182,75,35
Matt Brown,182,75,35
Josh Rafferty,182,75,35
Joey Beltran,185,75,35
James Te Huna,187,75,35
Steve Steinbeiss,190,75,35
Trevor Smith,190,75,35
Miguel Torres,175,76,35
Sammy Morgan,177,76,35
Georges St-Pierre,180,76,35
Kris McCray,182,76,35
Mauricio Rua,185,76,35
Dong Hyun Kim,187,76,35
Shamil Abdurakhimov,190,76,35
Jay Silva,187,77,35
Kevin Casey,180,77,35
Clifford Starks,182,77,35
Luiz Cane,187,77,35
Antonio Mendes,190,77,35
Rolando Delgado,190,77,35
Thales Leites,185,78,35
Brian Houston,187,78,35
Francis Carmont,190,78,35
Robert Drysdale,190,78,35
Ben Rothwell,193,78,35
Dave Branch,185,79,35
Roger Gracie,193,79,35
Jack May,203,82,35
Heather Jo Clark,167,64,36
Iliarde Santos,165,66,36
Frankie Saenz,167,66,36
Sara McMann,167,66,36
Shayna Baszler,170,67,36
Luke Caudillo,170,67,36
Waylon Lowe,170,67,36
Doug Evans,175,67,36
Brian Geraghty,170,69,36
Aaron Riley,172,69,36
Henry Briones,172,69,36
Brian Bowles,170,70,36
Mac Danzig,172,70,36
Mike Pierce,172,70,36
Troy Mandaloniz,175,70,36
Mark Scanlon,175,70.5,36
Rodrigo Damm,170,71,36
Jorge de Oliveira,172,71,36
Rousimar Palhares,172,71,36
Terry Martin,172,71,36
Anthony Lapsley,175,71,36
Iuri Alcantara,175,71,36
Jacob Volkmann,175,71,36
Dan Barrera,175,71,36
Donny Walker,175,71,36
Charles McCarthy,177,71,36
Jason Dent,177,71,36
Patrick Cote,180,71,36
Dan Stittgen,185,71,36
Ross Pointon,172,71.5,36
Josh Bryant,177,71.5,36
Per Eklund,177,72,36
Mackens Semerzier,175,72,36
Joshua Burkman,177,72,36
Garett Whiteley,182,72,36
Jon Madsen,182,72,36
Jesse Bongfeldt,182,72,36
Jason Miller,185,72,36
Brodie Farber,185,72,36
Rob Yundt,185,72,36
Derek Downey,185,72.5,36
Ivan Jorge,175,73,36
Bojan Mihajlovic,180,73,36
Charlie Ward,180,73,36
Brian Ebersole,182,73,36
Rafael Feijao,185,73,36
Nate Loughran,187,73.5,36
Brian Cobb,180,73.9,36
Amir Sadollah,177,74,36
Daniel Roberts,177,74,36
Kevin Burns,177,74,36
Chris Leben,180,74,36
Luke Cummo,182,74,36
Denis Stojnic,182,74,36
Brian Stann,185,74,36
Clay Harvison,185,74,36
Jorge Santiago,185,74,36
Justin Levens,180,74.5,36
Jesse Sanders,182,75,36
Claude Patrick,180,75,36
Leonardo Santos,182,75,36
Anthony Njokuani,185,75,36
Fabio Maldonado,185,75,36
Francimar Barroso,185,75,36
Oli Thompson,185,75,36
Damian Grabowski,185,75,36
Ricardo Funch,177,76,36
Kyle Noke,185,76,36
Patrick Cummins,187,76,36
Josh Shockman,193,76,36
Anthony Hamilton,195,76,36
Ed Herman,185,77,36
Igor Araujo,185,77,36
Eliot Marshall,187,77,36
James McSweeney,193,77,36
Mike Kyle,193,77,36
Nick Penner,193,77,36
Icho Larenas,190,78,36
Jimi Manuwa,185,79,36
Sam Hoger,187,79.5,36
Alistair Overeem,193,80,36
Christian Colombo,195,80,36
Antonio Banuelos,165,63,37
Neil Seery,162,64,37
Darren Uyenoyama,167,64,37
Fredy Serrano,160,65,37
Fredson Paixao,167,66,37
Urijah Faber,167,67,37
Guido Cannetti,167,68,37
Yves Jabouin,170,68,37
Antonio Carvalho,175,68,37
David Kaplan,170,69,37
Eddie Yagin,170,69,37
John Gunderson,175,69,37
Ansar Chalangov,175,69,37
Dale Hartt,177,69,37
Leonard Garcia,177,69,37
Dennis Siver,167,70,37
Kurt Pellegrino,172,70,37
Mike Lullo,172,70,37
Nick Agallar,172,70,37
Gray Maynard,175,70,37
Marcos Vinicius,175,70,37
Gerald Strebendt,175,70,37
Drew Fickett,177,70,37
Kazuhiro Nakamura,180,70,37
Scott Smith,182,70,37
Peggy Morgan,185,70,37
Benji Radach,177,70.5,37
Danny Castillo,175,71,37
Ron Faircloth,175,71,37
David Bielkheden,177,71,37
Jerrod Sanders,172,72,37
John Alessio,177,72,37
Shane Roller,177,72,37
Daniel Cormier,180,72,37
Jake Shields,182,72,37
Paul Taylor,182,72,37
Jacare Souza,185,72,37
Alexandre Ferreira,170,73,37
Richard Crunkilton,170,73,37
Costas Philippou,180,73,37
Jonathan Goulet,182,73,37
Kyle Watson,182,73,37
Dylan Andrews,185,73,37
Steve Byrnes,182,74,37
Pat Barry,180,74,37
Tim Kennedy,180,74,37
Nate Marquardt,182,74,37
Nick Ring,182,74,37
Mike Ciesnolevicz,182,74,37
Brad Morris,187,74,37
Mario Miranda,190,74,37
Bobby Voelker,182,75,37
Jason Novelli,182,75,37
Rashad Evans,182,75,37
Michael Bisping,185,75,37
Phillip Miller,180,75.5,37
David Loiseau,182,76,37
David Mitchell,182,76,37
Igor Pokrajac,182,76,37
Seth Petruzelli,182,76,37
Gabriel Gonzaga,187,76,37
Glover Teixeira,187,76,37
Tom Blackledge,182,77,37
Gerald Harris,180,77,37
Mike Swick,185,77,37
Vitor Miranda,185,77,37
Alexandre Dantas,187,77,37
Andrei Arlovski,190,77,37
Forrest Griffin,190,77,37
Frank Mir,190,79,37
Chris de la Rocha,190,80,37
Antonio Silva,193,80,37
Wes Sims,208,82,37
Alex Chambers,160,63,38
Ryan Roberts,167,65,38
Brad Pickett,167,68,38
Jeff Hougland,170,68,38
Isaac Vallie-Flagg,172,68,38
Tatsuya Kawajiri,170,69,38
Derrick Noble,175,69,38
Nathan Coy,177,69,38
Takanori Gomi,170,70,38
BJ Penn,172,70,38
Tiequan Zhang,172,70,38
Anthony Torres,172,70,38
Francisco Trinaldo,175,70,38
Genki Sudo,175,70,38
Nick Serra,175,70,38
Duane Ludwig,177,70,38
Billy Miles,177,70,38
Roger Hollett,180,70,38
Johnny Eduardo,170,71,38
Hector Lombard,175,71,38
Josh Thomson,177,71,38
Roman Mitichyan,177,71.5,38
Neil Wain,177,72,38
Reza Madadi,180,72,38
Dave Galera,180,72,38
Drew McFedries,182,72,38
Mark Munoz,182,72,38
Milton Vieira,182,72,38
Fabricio Camoes,177,73,38
Steve Vigneault,177,73,38
Chad Griggs,185,73,38
CM Punk,185,73,38
Rampage Jackson,185,73,38
Justin Eilers,185,73,38
Scott Junk,185,73,38
James Giboo,180,73.5,38
Papy Abedi,180,74,38
Roan Carneiro,180,74,38
Daiju Takase,182,74,38
Lyoto Machida,185,74,38
Travis Wiuff,190,74,38
James Wilks,185,75,38
David Terrell,185,75,38
Matt Horwich,185,75,38
James Irvin,187,75,38
Ruan Potts,187,75,38
Jon Fitch,182,76,38
Ricardo Romero,182,76,38
Wilson Gouveia,185,76,38
Joachim Christensen,190,76,38
Wesley Correira,190,76,38
Jonathan Wiezorek,190,77,38
Marcio Cruz,193,77.5,38
Rolles Gracie,193,77.5,38
Joe Jordan,167,78,38
Rob MacDonald,190,78,38
Heath Herring,193,78,38
Matt Mitrione,190,79,38
Corey Hill,193,80,38
Rosi Sexton,160,63,39
Andy Wang,167,64,39
Norifumi Yamamoto,162,66,39
Alex Karalexis,172,66,39
Kelly Dullanty,172,66,39
Joe Veres,170,67.5,39
Koji Oishi,172,67.5,39
Marion Reneau,167,68,39
Jessica Rakoczy,170,68,39
Jeff Curran,167,69,39
Javier Vazquez,170,69,39
Jorge Gurgel,170,69,39
Josh Haynes,175,70,39
Gabe Ruediger,177,70,39
Daniel Kelly,182,70,39
George Sotiropoulos,177,71,39
Rodrigo Ruas,177,71,39
Romie Aram,177,71,39
Sean Salmon,177,71,39
Brock Larson,180,71,39
Mike Wessel,182,71,39
Jared Rollins,175,71.5,39
Cristiano Marcello,175,72,39
Rich Attonito,177,72,39
Tiki Ghosn,177,72,39
Delson Heleno,180,72,39
Kit Cope,182,72,39
Demian Maia,185,72,39
Brad Blackburn,177,73,39
Josh Koscheck,177,73,39
Vik Grujic,180,73,39
Yoel Romero,182,73,39
Jules Bruchez,182,73,39
Gilbert Aldana,185,73.5,39
Ryan Madigan,182,74,39
Vitor Belfort,182,74,39
Chael Sonnen,185,74,39
Joe Slick,182,74.5,39
Travis Fulton,182,74.5,39
Joe Doerksen,182,75,39
Andrei Semenov,182,75,39
Chris Wilson,185,75,39
Eric Schafer,190,75,39
Tim Credeur,190,75,39
Ricco Rodriguez,193,75,39
Alex Stiebling,187,76,39
Andre Gusmao,182,76,39
Ryan Jensen,185,76,39
James Zikic,187,76,39
Brandon Vera,190,76,39
Lee Murray,190,76,39
Denis Kang,180,77,39
Krzysztof Soszynski,185,77,39
Fabricio Werdum,193,77,39
CJ Fernandes,187,78,39
Josh Barnett,190,78,39
Dorian Price,190,78,39
Stephan Bonnar,193,78,39
Joey Roberts,187,80,39
Aleksei Oleinik,187,80,39
Brock Lesnar,190,81,39
Soa Palelei,193,81,39
Lavar Johnson,193,82,39
Brad Imes,200,82,39
Alberto Crane,165,63,40
Yasuhiro Urushitani,165,66,40
Eiji Mitsuoka,170,67.5,40
Jordan Radev,170,67.5,40
Leigh Remedios,170,67.5,40
Alberto Crane,165,69,40
Spencer Fisher,170,70,40
Ryo Chonan,175,70,40
Chris Clements,177,70,40
Kuniyoshi Hironaka,177,70,40
Amar Suloev,175,71.5,40
Carlos Newton,175,71.5,40
Din Thomas,175,71.5,40
Ikuhisa Minowa,175,71.5,40
Justin James,177,71.5,40
Phil Baroni,175,72,40
Rich Clementi,175,72,40
David Heath,180,72,40
Roy Nelson,182,72,40
Yves Edwards,175,73,40
Justin McCully,185,73,40
Mike Russow,185,73,40
Joey Gilbert,180,73.5,40
Todd Brown,180,73.5,40
Flavio Luiz Moura,180,73.8,40
Alexandre Barros,175,74,40
Kenny Florian,177,74,40
Wanderlei Silva,180,74,40
Ricardo Almeida,182,74,40
Floyd Sword,182,74,40
Hector Ramirez,182,74,40
Kenichi Yamamoto,182,74,40
Jay Hieron,182,75,40
Dean Lister,185,75,40
Rogerio Nogueira,187,75,40
Sean Pierson,182,76,40
Matt Hamill,185,76,40
Josh Hendricks,187,76,40
Gilbert Yvel,187,77,40
Rory Singer,187,77,40
Minotauro Nogueira,190,77,40
Yuki Sasaki,187,78,40
Antoni Hardonk,193,78,40
Tim Sylvia,203,80,40
Sean McCorkle,200,81,40
Gan McGee,208,82,40
Alex Schoenauer,190,78,40
Hayato Sakurai,170,67.5,41
Ronys Torres,170,67.5,41
Paul Rodriguez,170,67.5,41
Michihiro Omigawa,167,68,41
Samy Schiavo,172,68.5,41
Mike Brown,167,70,41
Caol Uno,170,70,41
Forrest Petz,175,71,41
Jason Brilz,180,71,41
Brandon Wolff,175,71.5,41
Masutatsu Yano,175,71.5,41
Dennis Hallman,175,72,41
Yoshihiro Akiyama,177,73,41
Yuki Kondo,180,73.5,41
Michael Patt,182,74,41
Mike Pyle,182,74,41
Crafton Wallace,182,74,41
Jason Von Flue,182,74,41
Jeff Joslin,182,74,41
Julio Paulino,182,74,41
Sean Daugherty,182,74,41
Jeremy Horn,185,74,41
Kalib Starnes,190,74,41
Tito Ortiz,190,74,41
David Roberts,185,74.5,41
Renato Sobral,185,75,41
Jason Lambert,190,75,41
Chris Tuchscherer,187,76,41
Keith Jardine,187,76,41
Nandor Guelmino,190,76,41
Anderson Silva,187,77,41
Christian Wellisch,187,77,41
Pete Williams,190,78,41
Wade Shipp,190,78,41
Jon Olav Einemo,198,79,41
Shane Carwin,187,80,41
Jason MacDonald,190,80,41
Cheick Kongo,193,82,41
Jason Thacker,177,71.5,41
Charlie Valencia,160,64,42
Andy Anderson,167,66.5,42
Mikey Burnett,167,66.5,42
Matt Serra,167,68,42
Akihiro Gono,170,68,42
Chris Lytle,180,68,42
Allen Berube,172,68.5,42
Richie Hightower,172,68.5,42
Zach Light,172,68.5,42
Jens Pulver,170,70,42
Yoshiyuki Yoshida,180,70,42
Tony DeSouza,182,70,42
Hermes Franca,167,71,42
Assuerio Silva,177,71.5,42
Dave Menne,177,71.5,42
Falaniko Vitale,177,71.5,42
Jess Liaudin,175,72,42
Mark Hunt,177,72,42
Mario Neto,182,73,42
Aaron Simpson,182,73,42
Mirko Cro Cop,187,73,42
Alex Andrade,180,73.5,42
Jerry Bohlander,180,73.5,42
John Kolosci,180,73.5,42
Chris Condo,182,74,42
Scott Adams,182,74,42
Mike Guymon,182,74,42
Matt Lucas,185,74.5,42
Dante Rivera,185,74.5,42
Kristof Midoux,185,74.5,42
Pedro Rizzo,185,74.5,42
Rich Franklin,185,75,42
Cory Walmsley,182,75.25,42
Paul Buentello,187,77,42
Kevin Ferguson,187,78,42
Tom Murphy,187,78,42
Aaron Brink,190,78,42
Dan Evensen,190,78,42
Bob Gilstrap,190,79,42
David Baron,167,66.5,43
Sean Sherk,167,67,43
Marcelo Mello,170,67.5,43
Jermaine Andre,170,67.5,43
Jorge Patino,172,68.5,43
Marcus Davis,177,70,43
Rudyard Moncayo,177,71.5,43
Geza Kalman,177,71.5,43
Lodune Sincaid,175,71.5,43
Mark Hughes,175,71.5,43
Gideon Ray,177,71.5,43
Matt Hughes,175,73,43
James Lee,180,73.5,43
Laverne Clark,180,73.5,43
Steve Berger,180,73.5,43
Marcus Aurelio,177,74,43
Reese Andy,182,74,43
David Dodd,187,74,43
Jason Fairn,185,74.5,43
Curtis Stout,185,74.5,43
Renato Verissimo,185,74.5,43
Nate Schroeder,182,74.6,43
Ivan Serati,185,75,43
Travis Lutter,180,75,43
Mostapha Al-Turk,187,77,43
Lucio Linhares,187,78,43
Branden Lee Hinkle,190,78,43
Wes Combs,187,79,43
Rafael Carino,203,79,43
Cyrille Diabate,198,81,43
Marcus Jones,198,81,43
Semmy Schilt,208,82,43
Dokonjonosuke Mishima,170,67.5,44
Kamal Shalorus,172,68,44
Jason Black,172,68.5,44
Jason Gilliam,182,69,44
Cung Le,175,69,44
Frank Trigg,175,71,44
John Halverson,175,71.5,44
Frank Shamrock,177,71.5,44
Shonie Carter,177,71.5,44
Tyrone Roberts,175,71.8,44
Houston Alexander,182,72,44
Jorge Rivera,185,73,44
Keiichiro Yamamiya,180,73.5,44
Solomon Hutcherson,180,73.5,44
Nate Quarry,182,74,44
Katsuhisa Fujii,182,74,44
Kristian Rothaermel,182,74,44
Brian Gassaway,185,74.5,44
Trevor Prangley,185,75,44
Anthony Perosh,190,75,44
Fabiano Scherner,190,78,44
Dan Christison,203,82,44
Joao Roque,167,66.5,45
Chris Brennan,172,68.5,45
Pete Spratt,175,71.5,45
Sanae Kikuta,175,71.5,45
Homer Moore,177,71.5,45
Kevin Randleman,177,71.5,45
Adriano Santos,175,71.6,45
Amaury Bitetti,175,71.7,45
Marvin Eastman,175,73,45
Jeff Monson,175,74,45
Evan Tanner,182,74,45
Vladimir Matyushenko,182,74,45
Allan Goes,182,74,45
Ivan Salaverry,182,74,45
Sean Alvarez,182,74,45
Tony Fryklund,182,74,45
Vernon White,182,74,45
Joao Pierini,185,74.5,45
Sean Gannon,190,77,45
Matt Andersen,187,78,45
Mike Nickels,193,78,45
Kerry Schall,187,79,45
Elvis Sinosic,190,79,45
Neil Grove,198,82,45
Alfonso Alcarez,160,63,46
Joe Son,162,64,46
Paul Creighton,167,66.5,46
Frank Caracci,170,67.5,46
Antonio McKee,172,68.5,46
Fabiano Iha,172,68.5,46
Todd Medina,177,71.5,46
Jutaro Nakao,175,71.6,46
John Campetella,175,71.7,46
Lance Gibson,175,71.7,46
Rick Davis,175,71.8,46
Ronald Jhun,180,73.5,46
Tsuyoshi Kohsaka,180,73.5,46
Fabio Gurgel,182,74,46
Mark Robinson,182,74,46
Dan Henderson,180,74,46
Matt Lindland,182,74,46
John Marsh,182,74,46
Dan Bobish,187,75,46
Noe Hernandez,187,75.5,46
Brian Johnston,190,76,46
Kevin Jordan,190,76,46
Jason Reinhardt,167,66.5,47
Dave Strasser,177,71.5,47
Anthony Macias,175,71.8,47
Joel Sutton,180,73.6,47
Chris Haseman,180,73.6,47
Jason DeLucia,180,73.6,47
Yoshiki Takahashi,180,73.7,47
Ebenezer Fontes Braga,182,74,47
Kazushi Sakuraba,182,74,47
Melton Bowen,182,74,47
Teila Tuli,182,74,47
Jim Mullen,185,74.5,47
Tedd Williams,185,74.5,47
Chuck Liddell,187,79,47
Bobby Southworth,187,80,47
Remco Pardoel,190,81,47
Jon Hess,200,82,47
Paul Varelans,203,82,47
Phil Johns,157,64,48
Wallid Ismail,170,67.5,48
Jeff Cox,177,71.5,48
Pat Miletich,177,71.5,48
James Toney,175,71.7,48
Chris Sanford,180,73.7,48
John Lober,180,73.8,48
John Lewis,182,74,48
Hugo Duarte,182,74,48
Guy Mezger,185,74.5,48
Satoshi Honma,185,74.5,48
Trent Jenkins,187,75,48
Dave Beneteau,187,77,48
Roberto Traven,190,77,48
Kimo Leopoldo,190,79,48
Colin Robinson,193,79,48
Harry Moskowitz,195,79,48
Bobby Hoffman,187,80,48
Mark Kerr,190,80,48
Carlos Barreto,193,82,48
Townsend Saunders,165,66,49
Eddie Ruiz,170,67.5,49
Andre Pederneiras,172,68.5,49
Enson Inoue,177,71.5,49
Renzo Gracie,177,71.5,49
Yoji Anjo,180,73.6,49
Oleg Taktarov,182,74,49
Igor Zinoviev,185,74.5,49
Marcus Bossett,185,74.5,49
Sherman Pendergarst,185,74.5,49
Mark Weir,187,77,49
Bill Mahood,190,79,49
Scott Fiedler,193,83,49
Eugene Jackson,172,68.5,50
Jeff Newton,187,73,50
Ian Freeman,180,73.6,50
Tony Petarra,182,73.7,50
Sione Latu,182,74,50
Royce Gracie,185,74.5,50
John Matua,187,75,50
Gary Goodridge,190,76,50
Murilo Bustamante,187,77,50
David Levicki,195,79.5,50
Zane Frazier,195,80,50
Eugenio Tadeu,172,68.5,51
Kevin Jackson,177,71.5,51
Royce Alger,177,71.5,51
Gil Castillo,175,71.8,51
Scott Ferrozzo,180,73.7,51
David Abbott,182,74,51
Keith Rockel,182,74,51
Rainy Martinez,182,74,51
Steve Nelmark,182,74,51
Bas Rutten,185,74.5,51
Don Frye,185,74.5,51
Tim Lajcik,185,74.5,51
Todd Butler,185,74.6,51
Moti Horenstein,193,76,51
Tra Telligman,187,76,51
Andre Roberts,187,77,51
Mike van Arsdale,187,77,51
Ron Waterman,187,78,51
Scott Bessac,193,79,51
Sam Adkins,190,79,51
Darrel Gholar,172,68.5,52
Brad Kohler,175,71.8,52
Ken Shamrock,185,72,52
Eldo Xavier Dias,180,73.7,52
Felix Lee Mitchell,180,73.8,52
Mark Coleman,185,75,52
Jason Godsey,187,79,52
Greg Stott,170,67.5,53
Adrian Serrano,172,68.5,53
Paul Jones,175,71.6,53
Nick Sanzo,175,71.9,53
Cal Worsham,180,73.7,53
Art Jimmerson,185,74.5,53
Randy Couture,185,75,53
Yuri Vaulin,193,79,53
Patrick Smith,187,79,53
Tony Halme,190,80,53
Koji Kitao,200,82,53
Christophe Leninger,182,74,54
Scott Baker,182,74,54
Tai Bowden,180,73.8,55
Joe Moreira,180,73.9,55
Mark Hall,182,74,55
Maurice Smith,187,74,55
Marco Ruas,185,74.5,55
Kevin Rosier,193,83,55
Dieusel Berto,175,71.9,56
Mark Schultz,175,71.9,56
Larry Cureton,187,79,56
Emmanuel Yarborough,203,84,56
Houston Dorr,185,74.5,57
Joe Charles,185,74.5,57
Gerard Gordeau,195,76,57
Keith Hackney,180,73.6,58
Harold Howard,187,78,58
Dan Severn,187,78,58
Gerry Harris,203,81,59
Fred Ettish,182,74,61
Thomas Ramirez,185,74.6,61
Ron van Clief,177,71.5,73
Saparbeg Safarov,185,78,30
Ashley Yoder,170,69,29
Brian Camozzi,187,78,25
Gerald Meerschaert,185,77,29
Shane Burgos,180,75,25
Ryan Janes,190,76,35
JJ Aldrich,165,67,24
